timestamp,open,high,low,close,volume,tick_volume,spread,real_volume,tick_vol,real_vol,weekday
2022-09-08 06:00:00+00:00,144.208,144.309,143.989,144.061,,,,,2835.0,0.0,3
2022-09-08 06:15:00+00:00,144.062,144.117,144.026,144.056,,,,,2229.0,0.0,3
2022-09-08 06:30:00+00:00,144.056,144.125,143.993,144.08,,,,,2833.0,0.0,3
2022-09-08 06:45:00+00:00,144.08,144.114,143.961,144.004,,,,,1932.0,0.0,3
2022-09-08 07:00:00+00:00,144.003,144.008,143.776,143.899,,,,,2278.0,0.0,3
2022-09-08 07:15:00+00:00,143.899,143.917,143.697,143.844,,,,,2490.0,0.0,3
2022-09-08 07:30:00+00:00,143.847,143.981,143.839,143.939,,,,,2207.0,0.0,3
2022-09-08 07:45:00+00:00,143.937,144.046,143.914,144.007,,,,,1727.0,0.0,3
2022-09-08 08:00:00+00:00,144.007,144.043,143.94,143.94,,,,,1467.0,0.0,3
2022-09-08 08:15:00+00:00,143.942,144.01,143.916,144.008,,,,,1687.0,0.0,3
2022-09-08 08:30:00+00:00,144.008,144.118,143.981,144.035,,,,,2765.0,0.0,3
2022-09-08 08:45:00+00:00,144.036,144.05,143.533,143.755,,,,,3404.0,0.0,3
2022-09-08 09:00:00+00:00,143.761,143.812,143.595,143.6,,,,,3218.0,0.0,3
2022-09-08 09:15:00+00:00,143.6,143.633,143.46,143.548,,,,,2837.0,0.0,3
2022-09-08 09:30:00+00:00,143.547,143.743,143.51,143.713,,,,,2669.0,0.0,3
2022-09-08 09:45:00+00:00,143.713,143.789,143.628,143.666,,,,,2418.0,0.0,3
2022-09-08 10:00:00+00:00,143.666,143.789,143.614,143.783,,,,,2807.0,0.0,3
2022-09-08 10:15:00+00:00,143.782,143.85,143.772,143.834,,,,,2475.0,0.0,3
2022-09-08 10:30:00+00:00,143.833,143.933,143.709,143.733,,,,,3315.0,0.0,3
2022-09-08 10:45:00+00:00,143.736,143.827,143.639,143.827,,,,,2710.0,0.0,3
2022-09-08 11:00:00+00:00,143.827,143.851,143.739,143.786,,,,,1787.0,0.0,3
2022-09-08 11:15:00+00:00,143.786,144.072,143.423,143.989,,,,,3569.0,0.0,3
2022-09-08 11:30:00+00:00,143.997,144.096,143.846,143.958,,,,,2909.0,0.0,3
2022-09-08 11:45:00+00:00,143.958,144.15,143.935,144.041,,,,,1956.0,0.0,3
2022-09-08 12:00:00+00:00,144.046,144.137,143.987,144.034,,,,,1860.0,0.0,3
2022-09-08 12:15:00+00:00,144.033,144.093,143.998,144.059,,,,,1556.0,0.0,3
2022-09-08 12:30:00+00:00,144.058,144.086,143.971,143.981,,,,,1619.0,0.0,3
2022-09-08 12:45:00+00:00,143.98,143.994,143.843,143.871,,,,,1213.0,0.0,3
2022-09-08 13:00:00+00:00,143.871,143.913,143.825,143.903,,,,,1574.0,0.0,3
2022-09-08 13:15:00+00:00,143.903,143.919,143.798,143.801,,,,,1786.0,0.0,3
2022-09-08 13:30:00+00:00,143.801,143.827,143.648,143.704,,,,,1863.0,0.0,3
2022-09-08 13:45:00+00:00,143.704,143.772,143.605,143.68,,,,,1900.0,0.0,3
2022-09-08 14:00:00+00:00,143.68,143.732,143.633,143.665,,,,,1404.0,0.0,3
2022-09-08 14:15:00+00:00,143.665,143.677,143.535,143.557,,,,,1650.0,0.0,3
2022-09-08 14:30:00+00:00,143.557,143.579,143.318,143.404,,,,,2714.0,0.0,3
2022-09-08 14:45:00+00:00,143.404,143.496,143.326,143.484,,,,,1999.0,0.0,3
2022-09-08 15:00:00+00:00,143.483,143.582,143.407,143.51,,,,,2369.0,0.0,3
2022-09-08 15:15:00+00:00,143.512,143.835,143.394,143.685,,,,,4846.0,0.0,3
2022-09-08 15:30:00+00:00,143.686,143.991,143.678,143.952,,,,,4831.0,0.0,3
2022-09-08 15:45:00+00:00,143.952,144.167,143.796,144.127,,,,,4935.0,0.0,3
2022-09-08 16:00:00+00:00,144.127,144.377,143.942,144.345,,,,,4468.0,0.0,3
2022-09-08 16:15:00+00:00,144.345,144.446,144.183,144.241,,,,,4774.0,0.0,3
2022-09-08 16:30:00+00:00,144.242,144.282,143.775,143.784,,,,,5091.0,0.0,3
2022-09-08 16:45:00+00:00,143.784,143.968,143.724,143.937,,,,,4362.0,0.0,3
2022-09-08 17:00:00+00:00,143.937,144.108,143.931,144.024,,,,,3750.0,0.0,3
2022-09-08 17:15:00+00:00,144.023,144.043,143.885,144.017,,,,,2860.0,0.0,3
2022-09-08 17:30:00+00:00,144.016,144.204,144.009,144.145,,,,,2145.0,0.0,3
2022-09-08 17:45:00+00:00,144.145,144.155,143.919,143.954,,,,,2876.0,0.0,3
2022-09-08 18:00:00+00:00,143.955,144.085,143.943,143.972,,,,,2143.0,0.0,3
2022-09-08 18:15:00+00:00,143.973,143.99,143.855,143.918,,,,,1843.0,0.0,3
2022-09-08 18:30:00+00:00,143.917,144.051,143.834,144.037,,,,,2304.0,0.0,3
2022-09-08 18:45:00+00:00,144.04,144.079,143.984,144.073,,,,,1726.0,0.0,3
2022-09-08 19:00:00+00:00,144.073,144.186,144.018,144.161,,,,,2579.0,0.0,3
2022-09-08 19:15:00+00:00,144.161,144.249,144.129,144.164,,,,,1603.0,0.0,3
2022-09-08 19:30:00+00:00,144.165,144.206,144.125,144.136,,,,,1471.0,0.0,3
2022-09-08 19:45:00+00:00,144.136,144.157,144.11,144.126,,,,,1104.0,0.0,3
2022-09-08 20:00:00+00:00,144.125,144.177,143.971,143.979,,,,,1455.0,0.0,3
2022-09-08 20:15:00+00:00,143.977,144.019,143.885,143.919,,,,,1154.0,0.0,3
2022-09-08 20:30:00+00:00,143.919,143.952,143.879,143.936,,,,,1344.0,0.0,3
2022-09-08 20:45:00+00:00,143.94,144.062,143.933,144.059,,,,,1238.0,0.0,3
2022-09-08 21:00:00+00:00,144.06,144.077,144.015,144.028,,,,,1180.0,0.0,3
2022-09-08 21:15:00+00:00,144.028,144.03,143.94,143.94,,,,,1037.0,0.0,3
2022-09-08 21:30:00+00:00,143.939,144.008,143.885,143.987,,,,,1155.0,0.0,3
2022-09-08 21:45:00+00:00,143.987,144.02,143.954,144.015,,,,,936.0,0.0,3
2022-09-08 22:00:00+00:00,144.015,144.019,143.949,143.99,,,,,1211.0,0.0,3
2022-09-08 22:15:00+00:00,143.99,143.997,143.947,143.975,,,,,650.0,0.0,3
2022-09-08 22:30:00+00:00,143.978,144.009,143.967,143.976,,,,,486.0,0.0,3
2022-09-08 22:45:00+00:00,143.975,144.018,143.952,144.018,,,,,994.0,0.0,3
2022-09-08 23:00:00+00:00,144.017,144.045,143.988,144.008,,,,,721.0,0.0,3
2022-09-08 23:15:00+00:00,144.008,144.096,143.989,144.047,,,,,740.0,0.0,3
2022-09-08 23:30:00+00:00,144.046,144.119,144.038,144.082,,,,,518.0,0.0,3
2022-09-08 23:45:00+00:00,144.09,144.112,144.074,144.102,,,,,374.0,0.0,3
2022-09-09 00:00:00+00:00,144.077,144.104,144.065,144.083,,,,,1991.0,0.0,4
2022-09-09 00:15:00+00:00,144.078,144.106,144.068,144.089,,,,,1186.0,0.0,4
2022-09-09 00:30:00+00:00,144.091,144.108,144.084,144.092,,,,,950.0,0.0,4
2022-09-09 00:45:00+00:00,144.092,144.108,144.089,144.108,,,,,105.0,0.0,4
2022-09-09 01:00:00+00:00,144.107,144.11,143.961,143.988,,,,,533.0,0.0,4
2022-09-09 01:15:00+00:00,143.988,143.988,143.853,143.93,,,,,1800.0,0.0,4
2022-09-09 01:30:00+00:00,143.931,143.964,143.879,143.95,,,,,802.0,0.0,4
2022-09-09 01:45:00+00:00,143.95,144.016,143.924,143.996,,,,,380.0,0.0,4
2022-09-09 02:00:00+00:00,143.996,144.013,143.928,143.982,,,,,1422.0,0.0,4
2022-09-09 02:15:00+00:00,143.983,143.983,143.881,143.899,,,,,1341.0,0.0,4
2022-09-09 02:30:00+00:00,143.899,143.901,143.796,143.832,,,,,1401.0,0.0,4
2022-09-09 02:45:00+00:00,143.832,143.896,143.797,143.874,,,,,1661.0,0.0,4
2022-09-09 03:00:00+00:00,143.877,143.959,143.754,143.76,,,,,2582.0,0.0,4
2022-09-09 03:15:00+00:00,143.76,143.852,143.667,143.718,,,,,3045.0,0.0,4
2022-09-09 03:30:00+00:00,143.718,143.753,143.621,143.733,,,,,2621.0,0.0,4
2022-09-09 03:45:00+00:00,143.734,143.824,143.643,143.795,,,,,3529.0,0.0,4
2022-09-09 04:00:00+00:00,143.795,143.833,143.697,143.742,,,,,3106.0,0.0,4
2022-09-09 04:15:00+00:00,143.742,143.743,143.584,143.644,,,,,2355.0,0.0,4
2022-09-09 04:30:00+00:00,143.645,143.694,143.574,143.584,,,,,2767.0,0.0,4
2022-09-09 04:45:00+00:00,143.587,143.727,143.582,143.658,,,,,2805.0,0.0,4
2022-09-09 05:00:00+00:00,143.66,143.708,143.551,143.661,,,,,2215.0,0.0,4
2022-09-09 05:15:00+00:00,143.661,143.721,143.609,143.68,,,,,3223.0,0.0,4
2022-09-09 05:30:00+00:00,143.68,143.69,143.514,143.615,,,,,2641.0,0.0,4
2022-09-09 05:45:00+00:00,143.612,143.744,143.612,143.71,,,,,2125.0,0.0,4
2022-09-09 06:00:00+00:00,143.71,143.72,143.524,143.577,,,,,2544.0,0.0,4
2022-09-09 06:15:00+00:00,143.576,143.577,143.078,143.195,,,,,3933.0,0.0,4
2022-09-09 06:30:00+00:00,143.191,143.349,143.08,143.088,,,,,3403.0,0.0,4
2022-09-09 06:45:00+00:00,143.088,143.238,143.052,143.153,,,,,3412.0,0.0,4
2022-09-09 07:00:00+00:00,143.154,143.22,142.453,142.532,,,,,4592.0,0.0,4
2022-09-09 07:15:00+00:00,142.534,142.775,142.533,142.686,,,,,3762.0,0.0,4
2022-09-09 07:30:00+00:00,142.684,142.802,142.651,142.726,,,,,3886.0,0.0,4
2022-09-09 07:45:00+00:00,142.726,142.852,142.627,142.829,,,,,3328.0,0.0,4
2022-09-09 08:00:00+00:00,142.827,142.971,142.788,142.853,,,,,3380.0,0.0,4
2022-09-09 08:15:00+00:00,142.854,142.881,142.718,142.782,,,,,2843.0,0.0,4
2022-09-09 08:30:00+00:00,142.783,142.878,142.733,142.849,,,,,2662.0,0.0,4
2022-09-09 08:45:00+00:00,142.849,142.969,142.768,142.959,,,,,2850.0,0.0,4
2022-09-09 09:00:00+00:00,142.959,143.146,142.899,142.96,,,,,3522.0,0.0,4
2022-09-09 09:15:00+00:00,142.959,142.979,142.847,142.944,,,,,3301.0,0.0,4
2022-09-09 09:30:00+00:00,142.942,142.991,142.694,142.708,,,,,3836.0,0.0,4
2022-09-09 09:45:00+00:00,142.707,142.814,142.672,142.676,,,,,3126.0,0.0,4
2022-09-09 10:00:00+00:00,142.675,142.707,142.234,142.33,,,,,4339.0,0.0,4
2022-09-09 10:15:00+00:00,142.328,142.403,142.149,142.187,,,,,4140.0,0.0,4
2022-09-09 10:30:00+00:00,142.185,142.435,142.144,142.384,,,,,3385.0,0.0,4
2022-09-09 10:45:00+00:00,142.384,142.426,142.245,142.362,,,,,2234.0,0.0,4
2022-09-09 11:00:00+00:00,142.358,142.457,142.262,142.265,,,,,2651.0,0.0,4
2022-09-09 11:15:00+00:00,142.262,142.266,142.082,142.143,,,,,3403.0,0.0,4
2022-09-09 11:30:00+00:00,142.142,142.244,142.018,142.076,,,,,2757.0,0.0,4
2022-09-09 11:45:00+00:00,142.077,142.131,141.892,141.96,,,,,3772.0,0.0,4
2022-09-09 12:00:00+00:00,141.961,142.152,141.946,142.15,,,,,2394.0,0.0,4
2022-09-09 12:15:00+00:00,142.149,142.224,142.006,142.163,,,,,2901.0,0.0,4
2022-09-09 12:30:00+00:00,142.163,142.296,142.114,142.227,,,,,2882.0,0.0,4
2022-09-09 12:45:00+00:00,142.227,142.228,142.006,142.007,,,,,2539.0,0.0,4
2022-09-09 13:00:00+00:00,142.008,142.009,141.62,141.786,,,,,3426.0,0.0,4
2022-09-09 13:15:00+00:00,141.79,141.838,141.621,141.794,,,,,3498.0,0.0,4
2022-09-09 13:30:00+00:00,141.796,141.796,141.545,141.647,,,,,2946.0,0.0,4
2022-09-09 13:45:00+00:00,141.648,141.704,141.499,141.68,,,,,3136.0,0.0,4
2022-09-09 14:00:00+00:00,141.68,141.964,141.667,141.901,,,,,2445.0,0.0,4
2022-09-09 14:15:00+00:00,141.901,142.144,141.876,142.143,,,,,2283.0,0.0,4
2022-09-09 14:30:00+00:00,142.142,142.46,142.106,142.342,,,,,3204.0,0.0,4
2022-09-09 14:45:00+00:00,142.343,142.632,142.223,142.542,,,,,2951.0,0.0,4
2022-09-09 15:00:00+00:00,142.549,142.789,142.547,142.601,,,,,3490.0,0.0,4
2022-09-09 15:15:00+00:00,142.601,142.825,142.59,142.677,,,,,3052.0,0.0,4
2022-09-09 15:30:00+00:00,142.679,142.679,142.226,142.254,,,,,4070.0,0.0,4
2022-09-09 15:45:00+00:00,142.254,142.443,142.189,142.351,,,,,3439.0,0.0,4
2022-09-09 16:00:00+00:00,142.35,142.457,142.267,142.311,,,,,3909.0,0.0,4
2022-09-09 16:15:00+00:00,142.312,142.579,142.153,142.551,,,,,4092.0,0.0,4
2022-09-09 16:30:00+00:00,142.55,142.725,142.474,142.649,,,,,4263.0,0.0,4
2022-09-09 16:45:00+00:00,142.648,142.739,142.5,142.561,,,,,3661.0,0.0,4
2022-09-09 17:00:00+00:00,142.561,142.579,142.313,142.44,,,,,3797.0,0.0,4
2022-09-09 17:15:00+00:00,142.44,142.595,142.32,142.536,,,,,3464.0,0.0,4
2022-09-09 17:30:00+00:00,142.535,142.626,142.295,142.373,,,,,2922.0,0.0,4
2022-09-09 17:45:00+00:00,142.374,142.527,142.306,142.434,,,,,2915.0,0.0,4
2022-09-09 18:00:00+00:00,142.434,142.588,142.407,142.493,,,,,2643.0,0.0,4
2022-09-09 18:15:00+00:00,142.494,142.556,142.429,142.531,,,,,1996.0,0.0,4
2022-09-09 18:30:00+00:00,142.531,142.548,142.419,142.47,,,,,2169.0,0.0,4
2022-09-09 18:45:00+00:00,142.47,142.512,142.416,142.448,,,,,2138.0,0.0,4
2022-09-09 19:00:00+00:00,142.448,142.626,142.436,142.533,,,,,1824.0,0.0,4
2022-09-09 19:15:00+00:00,142.534,142.695,142.534,142.638,,,,,1692.0,0.0,4
2022-09-09 19:30:00+00:00,142.637,142.708,142.61,142.693,,,,,1529.0,0.0,4
2022-09-09 19:45:00+00:00,142.693,142.699,142.543,142.551,,,,,1152.0,0.0,4
2022-09-09 20:00:00+00:00,142.551,142.577,142.529,142.554,,,,,1130.0,0.0,4
2022-09-09 20:15:00+00:00,142.554,142.589,142.529,142.581,,,,,1149.0,0.0,4
2022-09-09 20:30:00+00:00,142.582,142.637,142.571,142.604,,,,,949.0,0.0,4
2022-09-09 20:45:00+00:00,142.604,142.696,142.59,142.695,,,,,920.0,0.0,4
2022-09-09 21:00:00+00:00,142.695,142.769,142.692,142.704,,,,,1145.0,0.0,4
2022-09-09 21:15:00+00:00,142.704,142.733,142.662,142.667,,,,,1280.0,0.0,4
2022-09-09 21:30:00+00:00,142.666,142.708,142.643,142.687,,,,,703.0,0.0,4
2022-09-09 21:45:00+00:00,142.686,142.761,142.679,142.698,,,,,1158.0,0.0,4
2022-09-09 22:00:00+00:00,142.698,142.709,142.642,142.645,,,,,838.0,0.0,4
2022-09-09 22:15:00+00:00,142.645,142.722,142.63,142.713,,,,,666.0,0.0,4
2022-09-09 22:30:00+00:00,142.715,142.728,142.594,142.595,,,,,869.0,0.0,4
2022-09-09 22:45:00+00:00,142.595,142.694,142.587,142.691,,,,,987.0,0.0,4
2022-09-09 23:00:00+00:00,142.691,142.716,142.639,142.64,,,,,510.0,0.0,4
2022-09-09 23:15:00+00:00,142.641,142.674,142.635,142.643,,,,,472.0,0.0,4
2022-09-09 23:30:00+00:00,142.643,142.68,142.632,142.635,,,,,285.0,0.0,4
2022-09-09 23:45:00+00:00,142.635,142.652,142.628,142.63,,,,,151.0,0.0,4
2022-09-12 00:00:00+00:00,142.097,142.287,142.094,142.14,,,,,82.0,0.0,0
2022-09-12 00:15:00+00:00,142.13,142.336,142.124,142.329,,,,,99.0,0.0,0
2022-09-12 00:30:00+00:00,142.338,142.368,142.303,142.306,,,,,58.0,0.0,0
2022-09-12 00:45:00+00:00,142.332,142.465,142.332,142.399,,,,,61.0,0.0,0
2022-09-12 01:00:00+00:00,142.377,142.597,142.358,142.544,,,,,1273.0,0.0,0
2022-09-12 01:15:00+00:00,142.54,142.583,142.489,142.56,,,,,420.0,0.0,0
2022-09-12 01:30:00+00:00,142.56,142.61,142.517,142.581,,,,,372.0,0.0,0
2022-09-12 01:45:00+00:00,142.58,142.651,142.54,142.651,,,,,427.0,0.0,0
2022-09-12 02:00:00+00:00,142.656,142.716,142.608,142.698,,,,,850.0,0.0,0
2022-09-12 02:15:00+00:00,142.698,142.751,142.653,142.654,,,,,671.0,0.0,0
2022-09-12 02:30:00+00:00,142.654,142.678,142.577,142.593,,,,,838.0,0.0,0
2022-09-12 02:45:00+00:00,142.594,142.614,142.523,142.562,,,,,1202.0,0.0,0
2022-09-12 03:00:00+00:00,142.563,142.832,142.499,142.818,,,,,3111.0,0.0,0
2022-09-12 03:15:00+00:00,142.823,142.957,142.799,142.853,,,,,2558.0,0.0,0
2022-09-12 03:30:00+00:00,142.858,142.919,142.757,142.788,,,,,2070.0,0.0,0
2022-09-12 03:45:00+00:00,142.787,142.858,142.648,142.802,,,,,2453.0,0.0,0
2022-09-12 04:00:00+00:00,142.802,142.817,142.56,142.564,,,,,2133.0,0.0,0
2022-09-12 04:15:00+00:00,142.565,142.597,142.326,142.384,,,,,2365.0,0.0,0
2022-09-12 04:30:00+00:00,142.38,142.504,142.363,142.482,,,,,2111.0,0.0,0
2022-09-12 04:45:00+00:00,142.479,142.576,142.45,142.53,,,,,1837.0,0.0,0
2022-09-12 05:00:00+00:00,142.529,142.66,142.522,142.619,,,,,2144.0,0.0,0
2022-09-12 05:15:00+00:00,142.618,142.696,142.608,142.679,,,,,1789.0,0.0,0
2022-09-12 05:30:00+00:00,142.677,142.85,142.673,142.822,,,,,1918.0,0.0,0
2022-09-12 05:45:00+00:00,142.822,142.874,142.766,142.831,,,,,1733.0,0.0,0
2022-09-12 06:00:00+00:00,142.831,142.933,142.734,142.75,,,,,2226.0,0.0,0
2022-09-12 06:15:00+00:00,142.75,142.882,142.72,142.879,,,,,1876.0,0.0,0
2022-09-12 06:30:00+00:00,142.888,143.037,142.885,142.956,,,,,1953.0,0.0,0
2022-09-12 06:45:00+00:00,142.957,143.018,142.898,142.946,,,,,1960.0,0.0,0
2022-09-12 07:00:00+00:00,142.95,142.995,142.893,142.964,,,,,1870.0,0.0,0
2022-09-12 07:15:00+00:00,142.964,143.22,142.955,143.186,,,,,2760.0,0.0,0
2022-09-12 07:30:00+00:00,143.185,143.24,143.114,143.18,,,,,2722.0,0.0,0
2022-09-12 07:45:00+00:00,143.179,143.247,143.121,143.176,,,,,2484.0,0.0,0
2022-09-12 08:00:00+00:00,143.176,143.248,143.123,143.156,,,,,1962.0,0.0,0
2022-09-12 08:15:00+00:00,143.16,143.166,142.989,143.073,,,,,2221.0,0.0,0
2022-09-12 08:30:00+00:00,143.073,143.226,143.061,143.125,,,,,1727.0,0.0,0
2022-09-12 08:45:00+00:00,143.12,143.317,143.106,143.238,,,,,2291.0,0.0,0
2022-09-12 09:00:00+00:00,143.237,143.495,143.227,143.419,,,,,3326.0,0.0,0
2022-09-12 09:15:00+00:00,143.417,143.477,143.336,143.369,,,,,2621.0,0.0,0
2022-09-12 09:30:00+00:00,143.368,143.441,143.285,143.327,,,,,2560.0,0.0,0
2022-09-12 09:45:00+00:00,143.327,143.327,142.963,142.994,,,,,2803.0,0.0,0
2022-09-12 10:00:00+00:00,142.995,143.054,142.815,142.865,,,,,4012.0,0.0,0
2022-09-12 10:15:00+00:00,142.866,142.929,142.624,142.712,,,,,3607.0,0.0,0
2022-09-12 10:30:00+00:00,142.709,142.886,142.7,142.807,,,,,3115.0,0.0,0
2022-09-12 10:45:00+00:00,142.807,142.915,142.71,142.768,,,,,2606.0,0.0,0
2022-09-12 11:00:00+00:00,142.768,142.937,142.642,142.893,,,,,3266.0,0.0,0
2022-09-12 11:15:00+00:00,142.893,142.959,142.79,142.793,,,,,2701.0,0.0,0
2022-09-12 11:30:00+00:00,142.795,142.809,142.647,142.73,,,,,2703.0,0.0,0
2022-09-12 11:45:00+00:00,142.729,142.75,142.603,142.69,,,,,2731.0,0.0,0
2022-09-12 12:00:00+00:00,142.69,142.792,142.578,142.721,,,,,2507.0,0.0,0
2022-09-12 12:15:00+00:00,142.72,142.79,142.641,142.653,,,,,2322.0,0.0,0
2022-09-12 12:30:00+00:00,142.653,142.722,142.526,142.591,,,,,2137.0,0.0,0
2022-09-12 12:45:00+00:00,142.592,142.734,142.578,142.726,,,,,1754.0,0.0,0
2022-09-12 13:00:00+00:00,142.73,142.87,142.717,142.82,,,,,2619.0,0.0,0
2022-09-12 13:15:00+00:00,142.82,142.854,142.781,142.811,,,,,1724.0,0.0,0
2022-09-12 13:30:00+00:00,142.811,142.821,142.654,142.654,,,,,2305.0,0.0,0
2022-09-12 13:45:00+00:00,142.654,142.696,142.584,142.607,,,,,1958.0,0.0,0
2022-09-12 14:00:00+00:00,142.606,142.711,142.545,142.71,,,,,1619.0,0.0,0
2022-09-12 14:15:00+00:00,142.71,142.751,142.647,142.665,,,,,1461.0,0.0,0
2022-09-12 14:30:00+00:00,142.665,142.737,142.415,142.473,,,,,2156.0,0.0,0
2022-09-12 14:45:00+00:00,142.472,142.557,142.416,142.556,,,,,2289.0,0.0,0
2022-09-12 15:00:00+00:00,142.555,142.599,142.233,142.292,,,,,2688.0,0.0,0
2022-09-12 15:15:00+00:00,142.292,142.483,142.288,142.476,,,,,2518.0,0.0,0
2022-09-12 15:30:00+00:00,142.475,142.63,142.446,142.619,,,,,2845.0,0.0,0
2022-09-12 15:45:00+00:00,142.618,142.668,142.502,142.525,,,,,2184.0,0.0,0
2022-09-12 16:00:00+00:00,142.526,142.66,142.485,142.521,,,,,2605.0,0.0,0
2022-09-12 16:15:00+00:00,142.523,142.791,142.521,142.759,,,,,2807.0,0.0,0
2022-09-12 16:30:00+00:00,142.76,142.878,142.663,142.731,,,,,2821.0,0.0,0
2022-09-12 16:45:00+00:00,142.731,142.737,142.578,142.599,,,,,2489.0,0.0,0
2022-09-12 17:00:00+00:00,142.599,142.617,142.437,142.562,,,,,2233.0,0.0,0
2022-09-12 17:15:00+00:00,142.562,142.666,142.537,142.64,,,,,2395.0,0.0,0
2022-09-12 17:30:00+00:00,142.639,142.743,142.588,142.658,,,,,2520.0,0.0,0
2022-09-12 17:45:00+00:00,142.657,142.658,142.375,142.4,,,,,2550.0,0.0,0
2022-09-12 18:00:00+00:00,142.399,142.449,142.339,142.38,,,,,2294.0,0.0,0
2022-09-12 18:15:00+00:00,142.381,142.433,142.313,142.315,,,,,1674.0,0.0,0
2022-09-12 18:30:00+00:00,142.313,142.459,142.306,142.395,,,,,1716.0,0.0,0
2022-09-12 18:45:00+00:00,142.395,142.458,142.314,142.448,,,,,1543.0,0.0,0
2022-09-12 19:00:00+00:00,142.448,142.448,142.351,142.351,,,,,1299.0,0.0,0
2022-09-12 19:15:00+00:00,142.351,142.46,142.343,142.415,,,,,1032.0,0.0,0
2022-09-12 19:30:00+00:00,142.414,142.421,142.308,142.312,,,,,1256.0,0.0,0
2022-09-12 19:45:00+00:00,142.312,142.313,142.161,142.213,,,,,1653.0,0.0,0
2022-09-12 20:00:00+00:00,142.21,142.382,142.206,142.38,,,,,1797.0,0.0,0
2022-09-12 20:15:00+00:00,142.379,142.442,142.34,142.404,,,,,1288.0,0.0,0
2022-09-12 20:30:00+00:00,142.404,142.435,142.357,142.378,,,,,1637.0,0.0,0
2022-09-12 20:45:00+00:00,142.371,142.435,142.356,142.421,,,,,1199.0,0.0,0
2022-09-12 21:00:00+00:00,142.421,142.596,142.414,142.563,,,,,1345.0,0.0,0
2022-09-12 21:15:00+00:00,142.563,142.78,142.561,142.774,,,,,941.0,0.0,0
2022-09-12 21:30:00+00:00,142.774,142.801,142.728,142.773,,,,,893.0,0.0,0
2022-09-12 21:45:00+00:00,142.773,142.786,142.705,142.722,,,,,1119.0,0.0,0
2022-09-12 22:00:00+00:00,142.723,142.777,142.714,142.751,,,,,835.0,0.0,0
2022-09-12 22:15:00+00:00,142.751,142.843,142.743,142.832,,,,,710.0,0.0,0
2022-09-12 22:30:00+00:00,142.832,142.84,142.751,142.758,,,,,598.0,0.0,0
2022-09-12 22:45:00+00:00,142.758,142.828,142.75,142.824,,,,,898.0,0.0,0
2022-09-12 23:00:00+00:00,142.826,142.85,142.79,142.803,,,,,652.0,0.0,0
2022-09-12 23:15:00+00:00,142.802,142.84,142.755,142.824,,,,,569.0,0.0,0
2022-09-12 23:30:00+00:00,142.825,142.843,142.809,142.837,,,,,220.0,0.0,0
2022-09-12 23:45:00+00:00,142.844,142.846,142.814,142.814,,,,,360.0,0.0,0
2022-09-13 00:00:00+00:00,142.81,142.846,142.797,142.813,,,,,688.0,0.0,1
2022-09-13 00:15:00+00:00,142.81,142.825,142.784,142.816,,,,,472.0,0.0,1
2022-09-13 00:30:00+00:00,142.811,142.822,142.798,142.802,,,,,899.0,0.0,1
2022-09-13 00:45:00+00:00,142.8,142.818,142.796,142.801,,,,,871.0,0.0,1
2022-09-13 01:00:00+00:00,142.801,142.801,142.703,142.706,,,,,1561.0,0.0,1
2022-09-13 01:15:00+00:00,142.705,142.711,142.541,142.555,,,,,1947.0,0.0,1
2022-09-13 01:30:00+00:00,142.555,142.697,142.536,142.67,,,,,309.0,0.0,1
2022-09-13 01:45:00+00:00,142.736,142.766,142.721,142.724,,,,,152.0,0.0,1
2022-09-13 02:00:00+00:00,142.724,142.779,142.654,142.715,,,,,469.0,0.0,1
2022-09-13 02:15:00+00:00,142.715,142.718,142.634,142.665,,,,,533.0,0.0,1
2022-09-13 02:30:00+00:00,142.671,142.673,142.611,142.62,,,,,885.0,0.0,1
2022-09-13 02:45:00+00:00,142.622,142.657,142.573,142.581,,,,,728.0,0.0,1
2022-09-13 03:00:00+00:00,142.58,142.737,142.512,142.57,,,,,2098.0,0.0,1
2022-09-13 03:15:00+00:00,142.571,142.719,142.56,142.694,,,,,2621.0,0.0,1
2022-09-13 03:30:00+00:00,142.695,142.729,142.549,142.634,,,,,2100.0,0.0,1
2022-09-13 03:45:00+00:00,142.632,142.642,142.426,142.453,,,,,3375.0,0.0,1
2022-09-13 04:00:00+00:00,142.453,142.537,142.41,142.524,,,,,2891.0,0.0,1
2022-09-13 04:15:00+00:00,142.524,142.717,142.495,142.682,,,,,2745.0,0.0,1
2022-09-13 04:30:00+00:00,142.681,142.727,142.595,142.623,,,,,3293.0,0.0,1
2022-09-13 04:45:00+00:00,142.624,142.649,142.338,142.35,,,,,2984.0,0.0,1
2022-09-13 05:00:00+00:00,142.35,142.49,142.32,142.485,,,,,3850.0,0.0,1
2022-09-13 05:15:00+00:00,142.485,142.549,142.446,142.524,,,,,3022.0,0.0,1
2022-09-13 05:30:00+00:00,142.521,142.555,142.469,142.521,,,,,2677.0,0.0,1
2022-09-13 05:45:00+00:00,142.521,142.587,142.52,142.574,,,,,2428.0,0.0,1
2022-09-13 06:00:00+00:00,142.575,142.593,142.472,142.482,,,,,3289.0,0.0,1
2022-09-13 06:15:00+00:00,142.482,142.501,142.394,142.439,,,,,2461.0,0.0,1
2022-09-13 06:30:00+00:00,142.439,142.558,142.41,142.511,,,,,2075.0,0.0,1
